,transaction_id,user_id,transaction_amount,transaction_time,is_fraud,payment_method_Bank Transfer,payment_method_Credit Card,payment_method_Cryptocurrency,payment_method_Debit Card,payment_method_PayPal,user_location_Chicago,user_location_Houston,user_location_Los Angeles,user_location_New York,user_location_San Francisco,device_type_Android,device_type_Linux Machine,device_type_MacBook,device_type_Windows PC,device_type_iPhone,hour,day_of_week
0,1,1102,235.64116382988516,2025-01-01 00:00:00,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0,2
1,2,1435,141.5712027412875,2025-01-01 01:00:00,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1,2
2,3,1860,1888.5522007214677,2025-01-01 02:00:00,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,2,2
3,4,1270,4054.6611206013454,2025-01-01 03:00:00,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,3,2
4,5,1106,4936.507885281573,2025-01-01 04:00:00,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,4,2
5,6,1071,760.5802866066057,2025-01-01 05:00:00,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,5,2
6,7,1700,2974.712269607154,2025-01-01 06:00:00,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,6,2
7,8,1020,1910.6453745887973,2025-01-01 07:00:00,0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,7,2
8,9,1614,4849.87284509487,2025-01-01 08:00:00,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,8,2
9,10,1121,4212.173426447186,2025-01-01 09:00:00,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,9,2
10,11,1466,4193.260236508578,2025-01-01 10:00:00,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,10,2
11,12,1214,2348.778867376902,2025-01-01 11:00:00,0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,11,2
12,13,1330,2079.949316664949,2025-01-01 12:00:00,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,12,2
13,14,1458,1374.3012889342242,2025-01-01 13:00:00,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,13,2
14,15,1087,291.3137282881263,2025-01-01 14:00:00,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,14,2
15,16,1372,4324.964657512715,2025-01-01 15:00:00,0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,15,2
16,17,1099,4066.376035559087,2025-01-01 16:00:00,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,16,2
17,18,1871,4998.591189697791,2025-01-01 17:00:00,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,17,2
18,19,1663,4983.217816998788,2025-01-01 18:00:00,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,18,2
19,20,1130,2781.604210957111,2025-01-01 19:00:00,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,19,2
20,21,1661,3847.247201750748,2025-01-01 20:00:00,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,20,2
21,22,1308,4724.380992113316,2025-01-01 21:00:00,0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,21,2
22,23,1769,4249.740479480283,2025-01-01 22:00:00,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,22,2
23,24,1343,1244.2670276985564,2025-01-01 23:00:00,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,23,2
24,25,1491,2258.215235197367,2025-01-02 00:00:00,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0,3
25,26,1413,654.50548160596,2025-01-02 01:00:00,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,1,3
26,27,1805,4770.714626021025,2025-01-02 02:00:00,0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,2,3
27,28,1385,3034.811425909892,2025-01-02 03:00:00,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,3,3
28,29,1191,1150.927599462279,2025-01-02 04:00:00,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,4,3
29,30,1955,3361.786415185225,2025-01-02 05:00:00,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,5,3
30,31,1276,3094.4599198849,2025-01-02 06:00:00,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,6,3
31,32,1160,1797.2319629838742,2025-01-02 07:00:00,0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,7,3
32,33,1459,576.6523850761488,2025-01-02 08:00:00,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,8,3
33,34,1313,3361.15024600807,2025-01-02 09:00:00,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,9,3
34,35,1021,2606.3354275099286,2025-01-02 10:00:00,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,10,3
35,36,1252,3863.86877476084,2025-01-02 11:00:00,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,11,3
36,37,1747,2605.615870548847,2025-01-02 12:00:00,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,12,3
37,38,1856,4262.385686589515,2025-01-02 13:00:00,0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,13,3
38,39,1560,2764.015125484683,2025-01-02 14:00:00,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,14,3
39,40,1474,2809.0804779615773,2025-01-02 15:00:00,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,15,3
40,41,1058,4384.501477265142,2025-01-02 16:00:00,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,16,3
41,42,1510,2023.3795023998607,2025-01-02 17:00:00,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,17,3
42,43,1681,678.7359899686973,2025-01-02 18:00:00,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,18,3
43,44,1475,153.62555480356147,2025-01-02 19:00:00,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,19,3
44,45,1699,3778.134905811359,2025-01-02 20:00:00,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,20,3
45,46,1975,3105.3446612537887,2025-01-02 21:00:00,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,21,3
46,47,1782,3523.358042815126,2025-01-02 22:00:00,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,22,3
47,48,1189,1072.691165929465,2025-01-02 23:00:00,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,23,3
48,49,1957,690.4936631779811,2025-01-03 00:00:00,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0,4
49,50,1686,82.57788168273082,2025-01-03 01:00:00,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,4
50,51,1957,1759.431918444919,2025-01-03 02:00:00,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,2,4
51,52,1562,2953.689257404619,2025-01-03 03:00:00,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,3,4
52,53,1875,1967.2977850476643,2025-01-03 04:00:00,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,4,4
53,54,1566,2192.999860898408,2025-01-03 05:00:00,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,5,4
54,55,1243,4521.751885523805,2025-01-03 06:00:00,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,6,4
55,56,1831,1747.7947804462688,2025-01-03 07:00:00,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,7,4
56,57,1504,2574.807550907456,2025-01-03 08:00:00,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,8,4
57,58,1130,3920.428533578304,2025-01-03 09:00:00,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,9,4
58,59,1484,1988.748483783138,2025-01-03 10:00:00,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,10,4
59,60,1818,3114.212634137089,2025-01-03 11:00:00,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,11,4
60,61,1646,4313.1949066462585,2025-01-03 12:00:00,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,12,4
61,62,1020,4748.107912051634,2025-01-03 13:00:00,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,13,4
62,63,1840,743.8966698358993,2025-01-03 14:00:00,0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,14,4
63,64,1166,4633.672249555857,2025-01-03 15:00:00,0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,15,4
64,65,1273,2465.660302466896,2025-01-03 16:00:00,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,16,4
65,66,1387,1298.6394976118022,2025-01-03 17:00:00,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,17,4
66,67,1600,2301.087423628924,2025-01-03 18:00:00,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,18,4
67,68,1315,4900.36255067453,2025-01-03 19:00:00,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,19,4
68,69,1013,2468.1642890244198,2025-01-03 20:00:00,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,20,4
69,70,1241,1650.470535334666,2025-01-03 21:00:00,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,21,4
